"","year","geo","gender","edu","age","age_g","stt","mrg","income","exp1","exp2"
"1807",2021,"G2",2,4,28,2,3,1,5497,1379,474
"1808",2021,"G2",1,3,44,4,1,4,5262,3429,1054
"1809",2021,"G1",1,4,63,6,4,2,5501,7235,1008
"1810",2021,"G1",1,4,69,6,1,2,2058,1035,416
"1811",2021,"G1",2,1,71,7,4,3,1369,705,33
"1812",2021,"G1",1,2,62,6,2,4,3814,1760,566
"1813",2021,"G2",2,4,55,5,4,2,1130,1165,65
"1814",2021,"G2",2,4,30,3,1,1,807,761,37
"1815",2021,"G2",1,3,63,6,3,2,13604,7482,4904
"1816",2021,"G2",1,4,43,4,1,2,8369,5120,1091
"1817",2021,"G2",1,4,44,4,1,2,8320,4920,1172
"1818",2021,"G2",1,1,71,7,4,2,2055,837,100
"1819",2021,"G2",1,4,45,4,3,2,12552,5016,1326
"1820",2021,"G2",1,4,55,5,1,2,17631,6940,3243
"1821",2021,"G2",1,4,62,6,1,2,10898,3170,1500
"1822",2021,"G1",2,4,58,5,4,1,2471,1350,221
"1823",2021,"G1",2,4,25,2,4,1,3049,1294,154
"1824",2021,"G1",2,1,71,7,4,3,1239,946,23
"1825",2021,"G1",1,1,61,6,4,4,1703,1045,32
"1826",2021,"G1",1,4,39,3,3,2,7547,4674,1415
"1827",2021,"G1",1,4,49,4,1,2,8656,4512,1726
"1828",2021,"G1",1,1,71,7,4,2,4585,2934,420
"1829",2021,"G1",1,3,57,5,3,2,3551,2990,610
"1830",2021,"G1",1,3,61,6,4,4,2795,1580,182
"1831",2021,"G2",1,3,53,5,1,2,3049,2407,378
"1832",2021,"G2",2,1,67,6,3,3,3296,1250,79
"1833",2021,"G2",1,4,65,6,3,2,6654,3957,709
"1834",2021,"G2",1,2,60,6,1,4,5385,2610,620
"1835",2021,"G2",1,3,65,6,1,2,9609,2231,707
"1836",2021,"G2",1,1,62,6,1,2,3686,1756,264
"1837",2021,"G2",2,3,37,3,4,4,1989,928,1
"1838",2021,"G2",2,4,40,4,1,4,3478,3200,599
"1839",2021,"G2",2,1,70,7,2,4,1591,1066,62
"1840",2021,"G1",1,4,56,5,1,2,15263,7746,3558
"1841",2021,"G1",1,4,30,3,2,1,4135,2310,77
"1842",2021,"G1",1,3,44,4,1,2,7187,3464,1411
"1843",2021,"G1",1,4,76,7,4,2,3129,1340,151
"1844",2021,"G1",1,4,73,7,4,2,5477,3544,621
